"Concept","Iteration","Scaled","Rescaled","Scenario"
"Weeds",4,29.8015919278949,29.8015919278949,"Trap1"
"Weeds",5,29.6803675445352,29.6803675445352,"Trap1"
"Weeds",6,29.5142235205177,29.5142235205177,"Trap1"
"Weeds",7,29.2875975858938,29.2875975858938,"Trap1"
"Weeds",8,28.9805566194527,28.9805566194527,"Trap1"
"Weeds",9,28.5685757106041,28.5685757106041,"Trap1"
"Weeds",10,28.0234905241038,28.0234905241038,"Trap1"
"Weeds",11,27.3170522814296,27.3170522814296,"Trap1"
"Weeds",12,26.4295273147502,26.4295273147502,"Trap1"
"Weeds",13,25.3663369220184,25.3663369220184,"Trap1"
"Weeds",14,24.1822132118882,24.1822132118882,"Trap1"
"Weeds",15,22.9982604309803,22.9982604309803,"Trap1"
"Weeds",16,21.9807383800852,21.9807383800852,"Trap1"
"Weeds",17,21.2737868920055,21.2737868920055,"Trap1"
"Weeds",18,20.9397509366577,20.9397509366577,"Trap1"
"Weeds",19,20.9591407515106,20.9591407515106,"Trap1"
"Weeds",20,21.2757614192137,21.2757614192137,"Trap1"
